Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","484","Mexico","7209","Share in Land area","6610","Agricultural land","2021","2021","%","51.51","A","Official figure",""
"RL","Land Use","484","Mexico","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2021","2021","USD_PPP/ha","650.24","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6610","Agricultural land","2022","2022","1000 ha","98888.975","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6610","Agricultural land","2022","2022","%","50.87","A","Official figure",""
"RL","Land Use","484","Mexico","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2022","2022","USD_PPP/ha","670.85","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6610","Agricultural land","2023","2023","1000 ha","98545.4116","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6610","Agricultural land","2023","2023","%","50.69","A","Official figure",""
"RL","Land Use","484","Mexico","7278","Value of agricultural production (Int. $) per Area","6610","Agricultural land","2023","2023","USD_PPP/ha","696.08","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2016","2016","1000 ha","24374","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6620","Cropland","2016","2016","%","24.79","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6620","Cropland","2016","2016","%","12.54","A","Official figure",""
"RL","Land Use","484","Mexico","7277","Area per capita","6620","Cropland","2016","2016","ha/cap","0.1994","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2017","2017","1000 ha","22926","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6620","Cropland","2017","2017","%","23.65","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6620","Cropland","2017","2017","%","11.79","A","Official figure",""
"RL","Land Use","484","Mexico","7277","Area per capita","6620","Cropland","2017","2017","ha/cap","0.1858","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2018","2018","1000 ha","22607","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6620","Cropland","2018","2018","%","23.42","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6620","Cropland","2018","2018","%","11.63","A","Official figure",""
"RL","Land Use","484","Mexico","7277","Area per capita","6620","Cropland","2018","2018","ha/cap","0.1815","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2019","2019","1000 ha","22129","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6620","Cropland","2019","2019","%","23.03","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6620","Cropland","2019","2019","%","11.38","A","Official figure",""
"RL","Land Use","484","Mexico","7277","Area per capita","6620","Cropland","2019","2019","ha/cap","0.176","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2020","2020","1000 ha","25901.4786","B","Time series break",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6620","Cropland","2020","2020","%","25.86","E","Estimated value",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6620","Cropland","2020","2020","%","13.32","E","Estimated value",""
"RL","Land Use","484","Mexico","7277","Area per capita","6620","Cropland","2020","2020","ha/cap","0.2043","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2021","2021","1000 ha","25926.0707","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6620","Cropland","2021","2021","%","25.89","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6620","Cropland","2021","2021","%","13.34","A","Official figure",""
"RL","Land Use","484","Mexico","7277","Area per capita","6620","Cropland","2021","2021","ha/cap","0.2031","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2022","2022","1000 ha","24806.2266","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6620","Cropland","2022","2022","%","25.08","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6620","Cropland","2022","2022","%","12.76","A","Official figure",""
"RL","Land Use","484","Mexico","7277","Area per capita","6620","Cropland","2022","2022","ha/cap","0.1929","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2023","2023","1000 ha","24445.7137","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6620","Cropland","2023","2023","%","24.81","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6620","Cropland","2023","2023","%","12.58","A","Official figure",""
"RL","Land Use","484","Mexico","7277","Area per capita","6620","Cropland","2023","2023","ha/cap","0.1884","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6621","Arable land","2016","2016","1000 ha","21749","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6621","Arable land","2016","2016","%","22.12","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6621","Arable land","2017","2017","1000 ha","20257","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6621","Arable land","2017","2017","%","20.9","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6621","Arable land","2018","2018","1000 ha","19900","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6621","Arable land","2018","2018","%","20.62","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6621","Arable land","2019","2019","1000 ha","19400","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6621","Arable land","2019","2019","%","20.19","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6621","Arable land","2020","2020","1000 ha","21683.7992","B","Time series break",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6621","Arable land","2020","2020","%","21.65","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6621","Arable land","2021","2021","1000 ha","21672.7174","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6621","Arable land","2021","2021","%","21.65","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6621","Arable land","2022","2022","1000 ha","20567.3623","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6621","Arable land","2022","2022","%","20.8","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6621","Arable land","2023","2023","1000 ha","20023.5946","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6621","Arable land","2023","2023","%","20.32","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6630","Temporary crops","2016","2016","1000 ha","14752","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6630","Temporary crops","2017","2017","1000 ha","14510","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6630","Temporary crops","2018","2018","1000 ha","14144","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6630","Temporary crops","2019","2019","1000 ha","13554","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6630","Temporary crops","2020","2020","1000 ha","14707.1229","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6630","Temporary crops","2021","2021","1000 ha","14701.5534","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6630","Temporary crops","2022","2022","1000 ha","13727.7497","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6630","Temporary crops","2023","2023","1000 ha","12983.777","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6633","Temporary meadows and pastures","2016","2016","1000 ha","1917","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6633","Temporary meadows and pastures","2017","2017","1000 ha","1873","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6633","Temporary meadows and pastures","2018","2018","1000 ha","1882","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6633","Temporary meadows and pastures","2019","2019","1000 ha","1872","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","3002.6764","B","Time series break",""
"RL","Land Use","484","Mexico","5110","Area","6633","Temporary meadows and pastures","2021","2021","1000 ha","2997.1641","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6633","Temporary meadows and pastures","2022","2022","1000 ha","2865.6127","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6633","Temporary meadows and pastures","2023","2023","1000 ha","3065.817","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6640","Temporary fallow","2016","2016","1000 ha","5080","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6640","Temporary fallow","2017","2017","1000 ha","3874","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6640","Temporary fallow","2018","2018","1000 ha","3874","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6640","Temporary fallow","2019","2019","1000 ha","3974","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","3974","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6640","Temporary fallow","2021","2021","1000 ha","3974","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6640","Temporary fallow","2022","2022","1000 ha","3974","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6640","Temporary fallow","2023","2023","1000 ha","3974","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6650","Permanent crops","2016","2016","1000 ha","2625","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6650","Permanent crops","2016","2016","%","2.67","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6650","Permanent crops","2017","2017","1000 ha","2669","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6650","Permanent crops","2017","2017","%","2.75","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6650","Permanent crops","2018","2018","1000 ha","2707","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6650","Permanent crops","2018","2018","%","2.8","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6650","Permanent crops","2019","2019","1000 ha","2729","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6650","Permanent crops","2019","2019","%","2.84","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6650","Permanent crops","2020","2020","1000 ha","4217.6794","B","Time series break",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6650","Permanent crops","2020","2020","%","4.21","E","Estimated value",""
"RL","Land Use","484","Mexico","5110","Area","6650","Permanent crops","2021","2021","1000 ha","4253.3532","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6650","Permanent crops","2021","2021","%","4.25","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6650","Permanent crops","2022","2022","1000 ha","4238.8642","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6650","Permanent crops","2022","2022","%","4.29","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6650","Permanent crops","2023","2023","1000 ha","4422.1191","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6650","Permanent crops","2023","2023","%","4.49","A","Official figure",""
"RL","Land Use","484","Mexico","5110","Area","6655","Permanent meadows and pastures","2016","2016","1000 ha","73964","A","Official figure",""
"RL","Land Use","484","Mexico","7208","Share in Agricultural land","6655","Permanent meadows and pastures","2016","2016","%","75.21","A","Official figure",""
"RL","Land Use","484","Mexico","7209","Share in Land area","6655","Permanent meadows and pastures","2016","2016","%","38.05","A","Official figure",""
