Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2022","2022","","140.54","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2023","2023","","101.55","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2016","2016","","112.99","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2017","2017","","76.46","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2018","2018","","124.22","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2019","2019","","78.33","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2020","2020","","210.16","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2021","2021","","199.68","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2022","2022","","132.48","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","01375","Pistachios, in shell","2023","2023","","94.9","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2016","2016","","105.64","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2017","2017","","113.34","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2018","2018","","114.47","E","Estimated value"
"QI","Production Indices","484","Mexico","432","Gross Production Index Number (2014-2016 = 100)","01346","Plums and sloes","2019","2019","","98.82","E","Estimated value"
